condition,model,leaked_share,accuracy_overall,macro_f1_overall,accuracy_on_leaked_rows,accuracy_on_unseen_rows,macro_f1_on_unseen_rows,fit_seconds
duplicates kept (as most published work does),decision_tree,0.1323,0.9984270925145148,0.8563692198967434,0.9994458391197522,0.9982717944229239,0.8551942880676056,115.3
duplicates kept (as most published work does),random_forest,0.1323,0.998598425502827,0.8570492276328464,0.9997997008866574,0.9984153026598895,0.855913930118526,214.0
duplicates removed (this project),decision_tree,0.0354,0.998199342672665,0.8637678367230407,1.0,0.998133244459391,0.8637652762506629,121.1
duplicates removed (this project),random_forest,0.0354,0.9983139476158287,0.867058497571229,1.0,0.9982520563007027,0.8670560576681089,199.7
