condition,model,accuracy,macro_f1,weighted_f1,fit_seconds,recall::BENIGN,recall::Bot,recall::DDoS,recall::DoS GoldenEye,recall::DoS Hulk,recall::DoS Slowhttptest,recall::DoS slowloris,recall::FTP-Patator,recall::Heartbleed,recall::Infiltration,recall::PortScan,recall::SSH-Patator,recall::Web Attack - Brute Force,recall::Web Attack - Sql Injection,recall::Web Attack - XSS
duplicates removed,decision_tree,0.997925285273275,0.886747154041075,0.9979249702082921,11.0,0.9991013188146395,0.7933884297520661,0.9994972979766243,0.9874804381846636,0.9967423678332092,0.9846153846153847,0.9850299401197605,0.997289972899729,1.0,0.6428571428571429,0.987422497785651,0.985,0.7032967032967034,0.5555555555555556,0.525
duplicates removed,random_forest,0.9979377835547613,0.861068491770272,0.9978900988821665,20.0,0.9994158572295156,0.7024793388429752,0.9991202714590927,0.9984350547730829,0.9947877885331348,0.9846153846153847,0.9880239520958084,0.991869918699187,1.0,0.6428571428571429,0.9867139061116031,0.975,0.7692307692307693,0.2222222222222222,0.325
duplicates removed,xgboost,0.9983377285623227,0.8627423150435798,0.9983180972824827,23.1,0.9991387638640296,0.7933884297520661,0.9996229734824683,0.9984350547730829,0.9972077438570365,0.9846153846153847,0.9820359281437125,0.991869918699187,1.0,0.5714285714285714,0.9980513728963685,0.995,0.7362637362637363,0.3333333333333333,0.25
duplicates removed,logistic,0.9750909249978128,0.612122197087634,0.975146564412179,21.8,0.9821761564903504,0.01652892561983471,0.97461354781953,0.8528951486697965,0.9378257632166791,0.8215384615384616,0.5778443113772455,0.7018970189701897,0.6,0.35714285714285715,0.9923826395039859,0.9,0.0,0.0,0.0
duplicates kept,decision_tree,0.9978128280757886,0.8510351859512517,0.9978206575092616,10.3,0.9988714284602392,0.7837837837837838,0.9991709271797706,0.9810996563573883,0.9975499578899012,0.9742765273311897,0.9969512195121951,0.9977728285077951,0.5,0.7857142857142857,0.9940999666035846,0.9819819819819819,0.6,0.625,0.43243243243243246
duplicates kept,random_forest,0.9980252962055691,0.8766294253733105,0.9979757956563671,19.4,0.9990737930121963,0.6756756756756757,0.9990327483763991,0.9896907216494846,0.996860883546436,0.9903536977491961,1.0,1.0,1.0,0.7142857142857143,0.9949905376822887,0.978978978978979,0.8235294117647058,0.5,0.21621621621621623
duplicates kept,xgboost,0.9983689946508024,0.8383844200381086,0.9983659034928092,22.4,0.9989181279722293,0.8288288288288288,0.9994472847865138,0.993127147766323,0.9987749789449506,0.9935691318327974,0.9939024390243902,1.0,0.25,0.7142857142857143,0.9988867861516197,0.987987987987988,0.7294117647058823,0.75,0.21621621621621623
duplicates kept,logistic,0.9702669599560066,0.6054636769002014,0.9698384509487568,21.5,0.974891229053323,0.0,0.9736078485560316,0.8247422680412371,0.961871219661588,0.8006430868167203,0.5579268292682927,0.8685968819599109,0.75,0.5,0.9938773238339085,0.4864864864864865,0.0,0.0,0.0
