test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,none,-,,LR,0,2,8268,2068,0.9386,0.5389,0.6,0.0
0.2,none,-,,SGD,0,2,8268,2068,0.9347,0.4753,0.9,0.0
0.2,none,-,,DT,0,2,8268,2068,0.9826,0.8481,0.3,0.0
0.2,none,-,,RF,0,2,8268,2068,0.985,0.8201,1.3,0.0
0.2,none,-,,NB,0,2,8268,2068,0.6992,0.577,0.0,0.0
0.2,none,-,,KNN,0,2,8268,2068,0.9637,0.7389,1.9,0.0
0.2,none,-,,SVM,0,2,8268,2068,0.9309,0.4814,1.8,0.0
0.2,linear,-,,LR,5,2,8268,2068,0.9018,0.3281,0.7,1.2
0.2,linear,-,,SGD,5,2,8268,2068,0.8922,0.2432,0.3,1.2
0.2,linear,-,,DT,5,2,8268,2068,0.9637,0.7494,0.1,1.2
0.2,linear,-,,RF,5,2,8268,2068,0.9739,0.7736,1.4,1.2
0.2,linear,-,,NB,5,2,8268,2068,0.3177,0.2726,0.0,1.2
0.2,linear,-,,KNN,5,2,8268,2068,0.9512,0.7074,0.0,1.2
0.2,linear,-,,SVM,5,2,8268,2068,0.8999,0.3219,0.8,1.2
0.2,poly,default,0.014492753623188406,LR,5,2,8268,2068,0.8085,0.0892,1.0,1.4
0.2,poly,default,0.014492753623188406,SGD,5,2,8268,2068,0.8061,0.0762,2.1,1.4
0.2,poly,default,0.014492753623188406,DT,5,2,8268,2068,0.883,0.4512,0.0,1.4
0.2,poly,default,0.014492753623188406,RF,5,2,8268,2068,0.9091,0.4319,1.1,1.4
0.2,poly,default,0.014492753623188406,NB,5,2,8268,2068,0.0716,0.1263,0.0,1.4
0.2,poly,default,0.014492753623188406,KNN,5,2,8268,2068,0.9347,0.6168,0.0,1.4
0.2,poly,default,0.014492753623188406,SVM,5,2,8268,2068,0.8075,0.0596,0.7,1.4
0.2,rbf,default,0.014492753623188406,LR,5,2,8268,2068,0.8685,0.1468,0.1,2.2
0.2,rbf,default,0.014492753623188406,SGD,5,2,8268,2068,0.8612,0.1417,0.1,2.2
0.2,rbf,default,0.014492753623188406,DT,5,2,8268,2068,0.9531,0.7089,0.1,2.2
0.2,rbf,default,0.014492753623188406,RF,5,2,8268,2068,0.9628,0.7324,1.4,2.2
0.2,rbf,default,0.014492753623188406,NB,5,2,8268,2068,0.8177,0.3926,0.0,2.2
0.2,rbf,default,0.014492753623188406,KNN,5,2,8268,2068,0.9487,0.6973,0.0,2.2
0.2,rbf,default,0.014492753623188406,SVM,5,2,8268,2068,0.9091,0.235,0.7,2.2
0.2,sigmoid,default,0.014492753623188406,LR,5,2,8268,2068,0.8781,0.1557,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,SGD,5,2,8268,2068,0.8801,0.1566,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,DT,5,2,8268,2068,0.9521,0.7307,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,RF,5,2,8268,2068,0.9599,0.7373,1.3,1.4
0.2,sigmoid,default,0.014492753623188406,NB,5,2,8268,2068,0.8709,0.3985,0.0,1.4
0.2,sigmoid,default,0.014492753623188406,KNN,5,2,8268,2068,0.9492,0.6887,0.0,1.4
0.2,sigmoid,default,0.014492753623188406,SVM,5,2,8268,2068,0.9149,0.3834,0.6,1.4
0.2,cosine,-,,LR,5,2,8268,2068,0.8936,0.1965,0.1,1.0
0.2,cosine,-,,SGD,5,2,8268,2068,0.8806,0.1546,0.1,1.0
0.2,cosine,-,,DT,5,2,8268,2068,0.9526,0.7043,0.1,1.0
0.2,cosine,-,,RF,5,2,8268,2068,0.9628,0.7705,1.4,1.0
0.2,cosine,-,,NB,5,2,8268,2068,0.8593,0.3336,0.0,1.0
0.2,cosine,-,,KNN,5,2,8268,2068,0.9536,0.7318,0.0,1.0
0.2,cosine,-,,SVM,5,2,8268,2068,0.9154,0.3197,0.6,1.0
0.2,linear,-,,LR,10,2,8268,2068,0.9125,0.3743,0.6,1.2
0.2,linear,-,,SGD,10,2,8268,2068,0.9081,0.3111,0.4,1.2
0.2,linear,-,,DT,10,2,8268,2068,0.9676,0.7623,0.2,1.2
0.2,linear,-,,RF,10,2,8268,2068,0.9802,0.7909,1.8,1.2
0.2,linear,-,,NB,10,2,8268,2068,0.6654,0.332,0.0,1.2
0.2,linear,-,,KNN,10,2,8268,2068,0.9623,0.7447,0.0,1.2
0.2,linear,-,,SVM,10,2,8268,2068,0.9241,0.3919,0.8,1.2
0.2,poly,default,0.014492753623188406,LR,10,2,8268,2068,0.8085,0.0996,2.5,1.4
0.2,poly,default,0.014492753623188406,SGD,10,2,8268,2068,0.8066,0.0892,3.0,1.4
0.2,poly,default,0.014492753623188406,DT,10,2,8268,2068,0.9192,0.592,0.1,1.4
0.2,poly,default,0.014492753623188406,RF,10,2,8268,2068,0.9599,0.6673,1.4,1.4
0.2,poly,default,0.014492753623188406,NB,10,2,8268,2068,0.1117,0.196,0.0,1.4
0.2,poly,default,0.014492753623188406,KNN,10,2,8268,2068,0.9497,0.7057,0.1,1.4
0.2,poly,default,0.014492753623188406,SVM,10,2,8268,2068,0.8075,0.0596,1.0,1.4
0.2,rbf,default,0.014492753623188406,LR,10,2,8268,2068,0.897,0.2009,0.2,2.3
0.2,rbf,default,0.014492753623188406,SGD,10,2,8268,2068,0.8825,0.1588,0.1,2.3
0.2,rbf,default,0.014492753623188406,DT,10,2,8268,2068,0.957,0.7191,0.2,2.3
0.2,rbf,default,0.014492753623188406,RF,10,2,8268,2068,0.9686,0.7708,1.9,2.3
0.2,rbf,default,0.014492753623188406,NB,10,2,8268,2068,0.7984,0.4058,0.0,2.3
