test_size,kernel,classifier,components,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,cosine,NB,10,8268,2068,0.8506,0.4641,0.0,1.0
0.2,cosine,KNN,10,8268,2068,0.9623,0.7257,0.0,1.0
0.2,cosine,SVM,10,8268,2068,0.9371,0.4085,0.5,1.0
0.2,linear,LR,15,8268,2068,0.9367,0.4934,0.5,1.1
0.2,linear,SGD,15,8268,2068,0.9047,0.3324,0.4,1.1
0.2,linear,DT,15,8268,2068,0.9749,0.7742,0.2,1.1
0.2,linear,RF,15,8268,2068,0.9816,0.789,0.9,1.1
0.2,linear,NB,15,8268,2068,0.7635,0.4078,0.0,1.1
0.2,linear,KNN,15,8268,2068,0.9652,0.7456,0.0,1.1
0.2,linear,SVM,15,8268,2068,0.9415,0.4802,0.8,1.1
0.2,poly,LR,15,8268,2068,0.8796,0.2768,1.2,1.1
0.2,poly,SGD,15,8268,2068,0.8332,0.1919,3.2,1.1
0.2,poly,DT,15,8268,2068,0.9323,0.6613,0.2,1.1
0.2,poly,RF,15,8268,2068,0.9507,0.669,0.9,1.1
0.2,poly,NB,15,8268,2068,0.1402,0.2784,0.0,1.1
0.2,poly,KNN,15,8268,2068,0.9531,0.7144,0.0,1.1
0.2,poly,SVM,15,8268,2068,0.8332,0.1575,1.1,1.1
0.2,rbf,LR,15,8268,2068,0.9091,0.2141,0.1,2.1
0.2,rbf,SGD,15,8268,2068,0.9062,0.2232,0.1,2.1
0.2,rbf,DT,15,8268,2068,0.9637,0.7323,0.4,2.1
0.2,rbf,RF,15,8268,2068,0.971,0.7701,1.1,2.1
0.2,rbf,NB,15,8268,2068,0.7853,0.4173,0.0,2.1
0.2,rbf,KNN,15,8268,2068,0.9589,0.7112,0.0,2.1
0.2,rbf,SVM,15,8268,2068,0.9289,0.2646,0.7,2.1
0.2,sigmoid,LR,15,8268,2068,0.913,0.2965,0.2,1.5
0.2,sigmoid,SGD,15,8268,2068,0.9105,0.2741,0.1,1.5
0.2,sigmoid,DT,15,8268,2068,0.9647,0.7404,0.3,1.5
0.2,sigmoid,RF,15,8268,2068,0.9797,0.7957,1.0,1.5
0.2,sigmoid,NB,15,8268,2068,0.8839,0.5735,0.0,1.5
0.2,sigmoid,KNN,15,8268,2068,0.9695,0.767,0.0,1.5
0.2,sigmoid,SVM,15,8268,2068,0.9512,0.5845,0.6,1.5
0.2,cosine,LR,15,8268,2068,0.9159,0.2293,0.1,1.2
0.2,cosine,SGD,15,8268,2068,0.9163,0.235,0.1,1.2
0.2,cosine,DT,15,8268,2068,0.9608,0.7291,0.3,1.2
0.2,cosine,RF,15,8268,2068,0.9729,0.7915,1.0,1.2
0.2,cosine,NB,15,8268,2068,0.8341,0.5277,0.0,1.2
0.2,cosine,KNN,15,8268,2068,0.9618,0.7163,0.0,1.2
0.2,cosine,SVM,15,8268,2068,0.9425,0.4671,0.6,1.2
0.4,none,LR,0,6201,4135,0.9453,0.6261,0.3,0.0
0.4,none,SGD,0,6201,4135,0.9243,0.5193,0.6,0.0
0.4,none,DT,0,6201,4135,0.9816,0.8265,0.2,0.0
0.4,none,RF,0,6201,4135,0.986,0.8639,0.9,0.0
