test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,poly,0.05,0.05,SGD,10,0,8268,2068,0.8032,0.1357,2.0,1.5
0.2,poly,0.05,0.05,DT,10,0,8268,2068,0.7926,0.3725,0.1,1.5
0.2,poly,0.05,0.05,RF,10,0,8268,2068,0.9067,0.4038,1.4,1.5
0.2,poly,0.05,0.05,NB,10,0,8268,2068,0.0938,0.221,0.0,1.5
0.2,poly,0.05,0.05,KNN,10,0,8268,2068,0.9183,0.5842,0.1,1.5
0.2,poly,0.05,0.05,SVM,10,0,8268,2068,0.809,0.1337,1.2,1.5
0.2,poly,0.1,0.1,LR,10,0,8268,2068,0.8404,0.2182,5.7,1.6
0.2,poly,0.1,0.1,SGD,10,0,8268,2068,0.0024,0.0003,1.3,1.6
0.2,poly,0.1,0.1,DT,10,0,8268,2068,0.8283,0.4078,0.2,1.6
0.2,poly,0.1,0.1,RF,10,0,8268,2068,0.9081,0.4435,1.6,1.6
0.2,poly,0.1,0.1,NB,10,0,8268,2068,0.0928,0.2197,0.0,1.6
0.2,poly,0.1,0.1,KNN,10,0,8268,2068,0.927,0.6009,0.0,1.6
0.2,poly,0.1,0.1,SVM,10,0,8268,2068,0.809,0.1337,1.6,1.6
0.2,sigmoid,0.001,0.001,LR,10,0,8268,2068,0.8762,0.1468,0.2,1.9
0.2,sigmoid,0.001,0.001,SGD,10,0,8268,2068,0.882,0.1556,0.1,1.9
0.2,sigmoid,0.001,0.001,DT,10,0,8268,2068,0.9676,0.7647,0.2,1.9
0.2,sigmoid,0.001,0.001,RF,10,0,8268,2068,0.9782,0.791,1.9,1.9
0.2,sigmoid,0.001,0.001,NB,10,0,8268,2068,0.8095,0.448,0.0,1.9
0.2,sigmoid,0.001,0.001,KNN,10,0,8268,2068,0.9681,0.763,0.0,1.9
0.2,sigmoid,0.001,0.001,SVM,10,0,8268,2068,0.941,0.5089,1.0,1.9
0.2,sigmoid,0.005,0.005,LR,10,0,8268,2068,0.8883,0.1649,0.2,1.6
0.2,sigmoid,0.005,0.005,SGD,10,0,8268,2068,0.8835,0.1577,0.1,1.6
0.2,sigmoid,0.005,0.005,DT,10,0,8268,2068,0.9739,0.7649,0.2,1.6
0.2,sigmoid,0.005,0.005,RF,10,0,8268,2068,0.9773,0.7929,2.0,1.6
0.2,sigmoid,0.005,0.005,NB,10,0,8268,2068,0.8612,0.4445,0.0,1.6
0.2,sigmoid,0.005,0.005,KNN,10,0,8268,2068,0.9691,0.7648,0.0,1.6
0.2,sigmoid,0.005,0.005,SVM,10,0,8268,2068,0.9357,0.4976,0.7,1.6
0.2,sigmoid,default,0.014492753623188406,LR,10,0,8268,2068,0.9004,0.2057,0.2,1.6
0.2,sigmoid,default,0.014492753623188406,SGD,10,0,8268,2068,0.8922,0.1897,0.1,1.6
0.2,sigmoid,default,0.014492753623188406,DT,10,0,8268,2068,0.9637,0.7198,0.2,1.6
